Rank,Language,Share,Trend
1,Python,25.95%,5.20%
2,Java,21.42%,-1.30%
3,Javascript,8.26%,-0.20%
4,C#,7.62%,-0.40%
5,PHP,7.37%,-1.30%
6,C/C++,6.31%,-0.30%
7,R,4.04%,-0.20%
8,Objective-C,3.15%,-0.80%
9,Swift,2.56%,-0.70%
10,Matlab,2.04%,-0.30%
11,TypeScript,1.57%,0.10%
12,Ruby,1.53%,-0.30%
13,VBA,1.42%,0.00%
14,Scala,1.19%,-0.10%
15,Kotlin,1.14%,0.40%
16,Visual Basic,1.13%,-0.10%
17,Go,1.04%,0.30%
18,Perl,0.58%,-0.20%
19,Rust,0.41%,0.00%
20,Lua,0.39%,0.00%
21,Haskell,0.31%,0.00%
22,Julia,0.31%,0.10%
23,Delphi,0.25%,-0.10%
