janv_2019,janv_2018, Programming Language,Ratings,Variation
1,1,Java,16.90%,2.69%
2,2,C,13.34%,2.30%
3,4,Python,8.29%,3.62%
4,3,C++,8.16%,2.55%
5,7,Visual Basic .NET,6.46%,3.20%
6,6,JavaScript,3.30%,-0.16%
7,5,C#,3.28%,-0.47%
8,9,PHP,2.68%,0.15%
9,,SQL,2.28%,2.28%
10,16,Objective-C,1.78%,-0.08%
11,18,MATLAB,1.50%,-0.15%
12,8,R,1.33%,-1.22%
13,10,Perl,1.23%,-1.19%
14,15,Assembly language,1.20%,-0.86%
15,12,Swift,1.19%,-1.19%
16,19,Go,1.12%,-0.45%
17,13,Delphi/Object Pascal,1.10%,-1.28%
18,11,Ruby,1.10%,-1.31%
19,20,PL/SQL,1.07%,-0.35%
20,14,Visual Basic,1.03%,-1.28%
